backend,batch,heads,seq_len,head_dim,dtype,causal,avg_ms,tflops,max_abs_err,config,error
flash_attn,1,32,256,64,fp16,True,0.02403615951538086,11.211609401558338,0.000244140625,,
torch_matmul_softmax,1,32,256,64,fp16,True,0.07256927967071533,3.713472604699807,0.001953125,,
torch_sdpa_auto,1,32,256,64,fp16,True,0.023758399486541747,11.342684600983022,,,
torch_sdpa_cudnn,1,32,256,64,fp16,True,0.02312959909439087,11.65104638866621,0.00048828125,,
torch_sdpa_efficient_cutlass,1,32,256,64,fp16,True,0.021932799816131592,12.286804888530206,0.00048828125,,
torch_sdpa_flash_pytorch,1,32,256,64,fp16,True,0.02375648021697998,11.343600968605859,0.0,,
triton_v0_baseline,1,32,256,64,fp16,True,0.024887681007385254,10.828008922166449,0.00048828125,,
triton_v1_codegen_hints,1,32,256,64,fp16,True,0.027891840934753418,9.661751356979133,0.00048828125,,
triton_v2_autotune,1,32,256,64,fp16,True,0.027895359992980956,9.660532506761255,0.0009765625,"BLOCK_M: 64, BLOCK_N: 32, num_warps: 4, num_ctas: 1, num_stages: 3, maxnreg: None",
triton_v3_fixed_best,1,32,256,64,fp16,True,0.02787424087524414,9.667851878231273,0.00048828125,"KernelConfig(block_m=128, block_n=64, num_warps=8, num_stages=4)",
triton_v4_causal_cutoff,1,32,256,64,fp16,True,0.02179231882095337,12.366009978749505,0.00048828125,,
triton_v5_even_fastpath,1,32,256,64,fp16,True,0.02174880027770996,12.3907539063748,0.00048828125,,
triton_v6_autotune_cutoff,1,32,256,64,fp16,True,0.027758400440216064,9.708197436678464,0.0009765625,"BLOCK_M: 64, BLOCK_N: 32, num_warps: 4, num_ctas: 1, num_stages: 4, maxnreg: None",
triton_v7_fixed_best_cutoff,1,32,256,64,fp16,True,0.018747520446777344,14.374382615826066,0.0009765625,"KernelConfig(block_m=64, block_n=32, num_warps=4, num_stages=3)",
triton_v8_dispatch_fixed_best,1,32,256,64,fp16,True,0.01891744017601013,14.245269417674287,0.0009765625,"KernelConfig(block_m=64, block_n=32, num_warps=4, num_stages=3)",
triton_v9_autotune_table,1,32,256,64,fp16,True,0.018461439609527588,14.59712989343066,0.00048828125,"KernelConfig(block_m=64, block_n=64, num_warps=4, num_stages=3)",
flash_attn,1,32,512,64,fp16,True,0.05609951972961426,19.177329524125632,,,
torch_matmul_softmax,1,32,512,64,fp16,True,0.2692515182495117,3.995665402350804,,,
torch_sdpa_auto,1,32,512,64,fp16,True,0.05523839950561524,19.476287974104608,,,
torch_sdpa_cudnn,1,32,512,64,fp16,True,0.054654078483581545,19.684514053661875,,,
torch_sdpa_efficient_cutlass,1,32,512,64,fp16,True,0.05743936061859131,18.729995675679312,,,
torch_sdpa_flash_pytorch,1,32,512,64,fp16,True,0.05515039920806885,19.507365158702207,,,
triton_v0_baseline,1,32,512,64,fp16,True,0.06533728122711181,16.46592811629846,,,
triton_v1_codegen_hints,1,32,512,64,fp16,True,0.0755673599243164,14.236820990934365,,,
triton_v2_autotune,1,32,512,64,fp16,True,0.0630732822418213,17.056968303556204,,"BLOCK_M: 64, BLOCK_N: 32, num_warps: 4, num_ctas: 1, num_stages: 3, maxnreg: None",
triton_v3_fixed_best,1,32,512,64,fp16,True,0.07554944038391113,14.240197816595723,,"KernelConfig(block_m=128, block_n=64, num_warps=8, num_stages=4)",
triton_v4_causal_cutoff,1,32,512,64,fp16,True,0.057935361862182615,18.569642812609327,,,
triton_v5_even_fastpath,1,32,512,64,fp16,True,0.057559361457824705,18.690947028456808,,,
triton_v6_autotune_cutoff,1,32,512,64,fp16,True,0.045384001731872556,23.70524711232005,,"BLOCK_M: 64, BLOCK_N: 32, num_warps: 4, num_ctas: 1, num_stages: 3, maxnreg: None",
triton_v7_fixed_best_cutoff,1,32,512,64,fp16,True,0.044949121475219726,23.934594063047612,,"KernelConfig(block_m=64, block_n=32, num_warps=4, num_stages=3)",
triton_v8_dispatch_fixed_best,1,32,512,64,fp16,True,0.045457282066345216,23.66703258742583,,"KernelConfig(block_m=64, block_n=32, num_warps=4, num_stages=3)",
triton_v9_autotune_table,1,32,512,64,fp16,True,0.04492191791534424,23.949088238561593,,"KernelConfig(block_m=64, block_n=64, num_warps=4, num_stages=2)",
flash_attn,1,32,1024,64,fp16,True,0.15658271789550782,27.4561692234066,,,
torch_matmul_softmax,1,32,1024,64,fp16,True,1.583675537109375,2.7146732390948607,,,
torch_sdpa_auto,1,32,1024,64,fp16,True,0.15490495681762695,27.753544420541033,,,
torch_sdpa_cudnn,1,32,1024,64,fp16,True,0.15473376274108885,27.784250339686057,,,
torch_sdpa_efficient_cutlass,1,32,1024,64,fp16,True,0.17305696487426758,24.842465041054563,,,
torch_sdpa_flash_pytorch,1,32,1024,64,fp16,True,0.15483776092529297,27.765588796354944,,,
triton_v0_baseline,1,32,1024,64,fp16,True,0.24220767974853516,17.749897957255012,,,
triton_v1_codegen_hints,1,32,1024,64,fp16,True,0.2812406349182129,15.286416919269977,,,
triton_v2_autotune,1,32,1024,64,fp16,True,0.23267999649047852,18.476713361029837,,"BLOCK_M: 64, BLOCK_N: 32, num_warps: 4, num_ctas: 1, num_stages: 3, maxnreg: None",
