backend,batch,heads,seq_len,head_dim,dtype,causal,avg_ms,tflops,max_abs_err,error
flash_attn,1,32,256,64,fp16,True,0.024007999897003175,11.224759794906472,0.00048828125,
torch_matmul_softmax,1,32,256,64,fp16,True,0.07270304203033447,3.7066403890990016,0.001953125,
torch_sdpa,1,32,256,64,fp16,True,0.023752000331878662,11.345740494888465,,
triton_v0_baseline,1,32,256,64,fp16,True,0.0408406400680542,6.598428221275407,0.00048828125,
triton_v1_codegen_hints,1,32,256,64,fp16,True,0.04493855953216553,5.996721630721436,0.00048828125,
triton_v2_autotune,1,32,256,64,fp16,True,0.027752959728240968,9.710100639312257,0.00048828125,
triton_v3_fixed_best,1,32,256,64,fp16,True,0.027921280860900878,9.651564100605704,0.00048828125,
triton_v4_causal_cutoff,1,32,256,64,fp16,True,0.021778559684753417,12.373822507126516,0.00048828125,
triton_v5_even_fastpath,1,32,256,64,fp16,True,0.021811521053314208,12.355123301180893,0.00048828125,
triton_v6_autotune_cutoff,1,32,256,64,fp16,True,0.02736448049545288,9.847949864963809,0.00048828125,
triton_v7_fixed_best_cutoff,1,32,256,64,fp16,True,0.017630720138549806,15.284913485227953,0.00048828125,
flash_attn,1,32,512,64,fp16,True,0.057164478302001956,18.820061128106598,,
torch_matmul_softmax,1,32,512,64,fp16,True,0.2691267204284668,3.997518248233383,,
torch_sdpa,1,32,512,64,fp16,True,0.05433279991149902,19.800911746723894,,
triton_v0_baseline,1,32,512,64,fp16,True,0.06532896041870118,16.468025345954054,,
triton_v1_codegen_hints,1,32,512,64,fp16,True,0.07555168151855468,14.239775401104547,,
triton_v2_autotune,1,32,512,64,fp16,True,0.06286431789398193,17.113666576552344,,
triton_v3_fixed_best,1,32,512,64,fp16,True,0.07547904014587402,14.253479825932969,,
triton_v4_causal_cutoff,1,32,512,64,fp16,True,0.05791679859161377,18.575594683435753,,
triton_v5_even_fastpath,1,32,512,64,fp16,True,0.05754623889923096,18.695209219214107,,
triton_v6_autotune_cutoff,1,32,512,64,fp16,True,0.04528416156768799,23.757511208237823,,
triton_v7_fixed_best_cutoff,1,32,512,64,fp16,True,0.04535679817199707,23.719464762929725,,
flash_attn,1,32,1024,64,fp16,True,0.15647007942199706,27.475934158665805,,
torch_matmul_softmax,1,32,1024,64,fp16,True,1.584660186767578,2.712986440815123,,
torch_sdpa,1,32,1024,64,fp16,True,0.15513919830322265,27.711639914479917,,
triton_v0_baseline,1,32,1024,64,fp16,True,0.24221920013427733,17.749053739822045,,
triton_v1_codegen_hints,1,32,1024,64,fp16,True,0.2813430404663086,15.280852843825127,,
triton_v2_autotune,1,32,1024,64,fp16,True,0.2326595115661621,18.478340176423153,,
triton_v3_fixed_best,1,32,1024,64,fp16,True,0.28114240646362304,15.291757846414635,,
triton_v4_causal_cutoff,1,32,1024,64,fp16,True,0.17539615631103517,24.511150588591978,,
triton_v5_even_fastpath,1,32,1024,64,fp16,True,0.17395423889160155,24.714325028198907,,
triton_v6_autotune_cutoff,1,32,1024,64,fp16,True,0.14077343940734863,30.539579185529053,,
triton_v7_fixed_best_cutoff,1,32,1024,64,fp16,True,0.14061920166015626,30.573076430842413,,
flash_attn,1,32,2048,64,fp16,True,0.5134694290161133,33.47474420226995,,
torch_sdpa,1,32,2048,64,fp16,True,0.509439697265625,33.7395336175342,,
triton_v0_baseline,1,32,2048,64,fp16,True,0.9394214630126954,18.296641570097613,,
triton_v1_codegen_hints,1,32,2048,64,fp16,True,1.088556137084961,15.789959935395107,,
triton_v2_autotune,1,32,2048,64,fp16,True,0.8715654754638672,19.721132004284605,,
triton_v3_fixed_best,1,32,2048,64,fp16,True,1.0874489593505858,15.80603636079128,,
triton_v4_causal_cutoff,1,32,2048,64,fp16,True,0.5902479934692383,29.12040020835038,,
triton_v5_even_fastpath,1,32,2048,64,fp16,True,0.5836956787109375,29.447293202443095,,
triton_v6_autotune_cutoff,1,32,2048,64,fp16,True,0.48359935760498046,35.542350339596446,,
triton_v7_fixed_best_cutoff,1,32,2048,64,fp16,True,0.4846006393432617,35.468912742859345,,
flash_attn,1,32,4096,64,fp16,True,1.8516883850097656,37.12085386960911,,
torch_sdpa,1,32,4096,64,fp16,True,1.8419775390625,37.316553809328354,,
triton_v0_baseline,1,32,4096,64,fp16,True,3.5656512451171873,19.277335114062996,,
triton_v1_codegen_hints,1,32,4096,64,fp16,True,4.136660461425781,16.616363511814235,,
triton_v2_autotune,1,32,4096,64,fp16,True,3.38105224609375,20.32984081550749,,
triton_v3_fixed_best,1,32,4096,64,fp16,True,4.139560546875,16.604722451490595,,
triton_v4_causal_cutoff,1,32,4096,64,fp16,True,2.1522979736328125,31.936216450541796,,
triton_v5_even_fastpath,1,32,4096,64,fp16,True,2.126953582763672,32.3167625795985,,
triton_v6_autotune_cutoff,1,32,4096,64,fp16,True,1.7945730590820312,38.30228789189575,,
triton_v7_fixed_best_cutoff,1,32,4096,64,fp16,True,1.7956201171875,38.27995314491262,,
