backend,batch,heads,seq_len,head_dim,dtype,causal,avg_ms,tflops,max_abs_err,error
flash_attn,1,32,256,64,fp16,True,0.024072959423065185,11.194470412383012,0.000244140625,
torch_matmul_softmax,1,32,256,64,fp16,True,0.07258272171020508,3.712784883927971,0.001953125,
torch_sdpa,1,32,256,64,fp16,True,0.02371135950088501,11.365186883946562,,
triton_v0_baseline,1,32,256,64,fp16,True,0.04080671787261963,6.603913425265147,0.0009765625,
triton_v1_codegen_hints,1,32,256,64,fp16,True,0.04459968090057373,6.042286100673276,0.0009765625,
triton_v2_autotune,1,32,256,64,fp16,True,0.027535040378570557,9.786948858434537,0.0009765625,
triton_v3_fixed_best,1,32,256,64,fp16,True,0.02791775941848755,9.65278151303015,0.0009765625,
triton_v4_causal_cutoff,1,32,256,64,fp16,True,0.021736319065093993,12.39786880165741,0.0009765625,
triton_v5_even_fastpath,1,32,256,64,fp16,True,0.021753599643707277,12.388020208782061,0.0009765625,
triton_v6_autotune_cutoff,1,32,256,64,fp16,True,0.027584640979766845,9.769350712146837,0.0009765625,
triton_v7_fixed_best_cutoff,1,32,256,64,fp16,True,0.018559679985046387,14.51986414728726,0.0009765625,
triton_v8_dispatch_fixed_best,1,32,256,64,fp16,True,0.019079680442810058,14.12413760323495,0.0009765625,
flash_attn,1,32,512,64,fp16,True,0.06782911777496338,15.86101974036151,,
torch_matmul_softmax,1,32,512,64,fp16,True,0.26939647674560546,3.9935153903884513,,
torch_sdpa,1,32,512,64,fp16,True,0.055345277786254886,19.438676957317337,,
triton_v0_baseline,1,32,512,64,fp16,True,0.06535552024841308,16.46133290517449,,
triton_v1_codegen_hints,1,32,512,64,fp16,True,0.07550816059112549,14.247982834936703,,
triton_v2_autotune,1,32,512,64,fp16,True,0.06294879913330079,17.090698961894354,,
triton_v3_fixed_best,1,32,512,64,fp16,True,0.07550176143646241,14.249190423263958,,
triton_v4_causal_cutoff,1,32,512,64,fp16,True,0.0579088020324707,18.578159765708055,,
triton_v5_even_fastpath,1,32,512,64,fp16,True,0.05754623889923096,18.695209219214107,,
triton_v6_autotune_cutoff,1,32,512,64,fp16,True,0.04546624183654785,23.662368661735115,,
triton_v7_fixed_best_cutoff,1,32,512,64,fp16,True,0.044824957847595215,24.00089208466968,,
triton_v8_dispatch_fixed_best,1,32,512,64,fp16,True,0.04735455989837647,22.718804235722285,,
flash_attn,1,32,1024,64,fp16,True,0.1556278419494629,27.62463031130425,,
torch_matmul_softmax,1,32,1024,64,fp16,True,1.5843414306640624,2.713532270754319,,
torch_sdpa,1,32,1024,64,fp16,True,0.15482175827026368,27.768458697486135,,
triton_v0_baseline,1,32,1024,64,fp16,True,0.2423788833618164,17.737360368899513,,
triton_v1_codegen_hints,1,32,1024,64,fp16,True,0.2817318344116211,15.259765049194828,,
triton_v2_autotune,1,32,1024,64,fp16,True,0.23265472412109375,18.47872041387108,,
triton_v3_fixed_best,1,32,1024,64,fp16,True,0.281279354095459,15.284312685604982,,
triton_v4_causal_cutoff,1,32,1024,64,fp16,True,0.1753868865966797,24.512446075209528,,
triton_v5_even_fastpath,1,32,1024,64,fp16,True,0.1738115119934082,24.73461942016272,,
triton_v6_autotune_cutoff,1,32,1024,64,fp16,True,0.1399129581451416,30.72740121426191,,
triton_v7_fixed_best_cutoff,1,32,1024,64,fp16,True,0.14074624061584473,30.545480868183237,,
triton_v8_dispatch_fixed_best,1,32,1024,64,fp16,True,0.13992416381835937,30.72494044403151,,
flash_attn,1,32,2048,64,fp16,True,0.5119062423706054,33.57696462618284,,
torch_sdpa,1,32,2048,64,fp16,True,0.5098569488525391,33.71192219834036,,
triton_v0_baseline,1,32,2048,64,fp16,True,0.938927993774414,18.306257674674924,,
triton_v1_codegen_hints,1,32,2048,64,fp16,True,1.0883017730712892,15.793650453672544,,
triton_v2_autotune,1,32,2048,64,fp16,True,0.8716067504882813,19.72019810811584,,
triton_v3_fixed_best,1,32,2048,64,fp16,True,1.0877474975585937,15.801698308273165,,
